9.6972,7.4485e-05,9.8193,6.484e-05,9.5919,8.4079e-05,9.7642,6.9258e-05,9.7602,6.9522e-05,9.8267,6.4351e-05,9.7441,7.0717e-05,9.8141,6.5146e-05,1
8.342,0.00031518,8.6872,0.00021765,8.1826,0.00037179,8.5828,0.0002442,8.5065,0.0002634,8.756,0.00020189,8.4961,0.00026511,8.7413,0.00020402,1
8.2472,0.00034686,8.6023,0.00023806,8.0946,0.00040836,8.5002,0.00026487,8.4302,0.00028507,8.676,0.00021974,8.3866,0.0002976,8.6447,0.00022642,1
8.245,0.00034999,8.5884,0.00024169,8.0965,0.0004085,8.4891,0.00026916,8.4159,0.00029161,8.6574,0.00022376,8.3971,0.0002954,8.6464,0.00022592,1
9.2686,0.0001188,9.5389,8.8783e-05,9.1361,0.00013793,9.4644,9.6247e-05,9.4072,0.00010237,9.5887,8.3816e-05,9.3732,0.00010599,9.5672,8.6005e-05,1
8.3227,0.00031701,8.8388,0.00018516,8.1902,0.00036474,8.7228,0.00020972,8.5635,0.00024655,9.0122,0.00015453,8.5361,0.00025321,8.9888,0.00015835,1
7.8769,0.000499,8.4131,0.00028831,7.7465,0.00057675,8.297,0.00032791,8.1394,0.00038074,8.6078,0.00023506,8.0864,0.00040233,8.5612,0.00024771,1
8.126,0.00039229,8.6578,0.00022612,7.9977,0.00044837,8.5426,0.00025532,8.393,0.00029688,8.8585,0.0001832,8.3228,0.00031879,8.7974,0.0001947,1
8.3986,0.00029491,8.7323,0.00020632,8.2449,0.00034654,8.6341,0.00022879,8.5655,0.00024533,8.7941,0.00019194,8.5384,0.00025272,8.7787,0.00019582,1
9.0368,0.00015146,9.332,0.0001105,8.9003,0.00017653,9.243,0.00012198,9.1827,0.00013001,9.3864,0.00010379,9.1609,0.00013313,9.3639,0.00010685,1
8.5572,0.00025215,8.8875,0.00017648,8.4044,0.0002968,8.7801,0.00019804,8.7211,0.00021078,8.951,0.0001646,8.694,0.00021637,8.9283,0.00016806,1
9.0145,0.00015576,9.305,0.00011388,8.8746,0.00018073,9.221,0.00012463,9.1599,0.00013302,9.3604,0.000107,9.1458,0.00013455,9.3481,0.00010855,1
7.7506,0.00056763,8.2964,0.00032318,7.6144,0.0006607,8.1689,0.00037219,7.9988,0.000441,8.4805,0.00026844,7.9748,0.00045048,8.4581,0.00027444,1
8.3689,0.00030583,8.7065,0.00021237,8.2063,0.000365,8.6033,0.00023779,8.5375,0.00025385,8.7732,0.00019739,8.5066,0.000263,8.7491,0.00020281,1
7.2342,0.00097766,7.7906,0.00054999,7.1032,0.0011173,7.6696,0.0006224,7.5096,0.00072937,8.0056,0.00043982,7.4485,0.00077689,7.9444,0.00046614,1
8.1557,0.00037726,8.5483,0.00025019,8.0163,0.00043927,8.4436,0.00027975,8.3474,0.00030809,8.6382,0.00022639,8.3228,0.0003156,8.6159,0.00023144,1
8.3912,0.00029844,8.7295,0.00020778,8.2337,0.00035339,8.627,0.00023212,8.5631,0.00024814,8.7974,0.00019281,8.5276,0.00025612,8.771,0.00019839,1
8.4796,0.00026907,8.9847,0.00015847,8.3504,0.00030818,8.873,0.00017849,8.7165,0.00020964,9.1486,0.00013385,8.6898,0.00021538,9.1301,0.00013652,1
7.5092,0.00073206,8.0536,0.00041695,7.3791,0.00083536,7.9317,0.00047326,7.7715,0.00055631,8.2462,0.00034054,7.7218,0.00058187,8.2035,0.00035476,1
8.3794,0.00029977,8.8899,0.00017652,8.2501,0.00034239,8.7742,0.00019939,8.619,0.00023397,9.0571,0.00014812,8.5902,0.00024005,9.0379,0.00015097,1
7.7727,0.00055808,8.3121,0.00031929,7.6442,0.00063843,8.1944,0.00036207,8.0364,0.00042319,8.506,0.00026165,7.9827,0.00044757,8.4598,0.00027364,1
8.3058,0.00032508,8.8221,0.00019009,8.1812,0.00037105,8.7122,0.00021304,8.5674,0.00024702,9.0143,0.00015499,8.5045,0.00026304,8.9656,0.00016312,1
8.4267,0.0002869,8.7619,0.00020085,8.27,0.00034124,8.6602,0.00022488,8.5994,0.00023874,8.8311,0.00018624,8.5646,0.00024742,8.8047,0.00019091,1
8.4178,0.00029033,8.754,0.00020248,8.2605,0.00034314,8.6589,0.00022545,8.5763,0.00024513,8.8211,0.00018883,8.5624,0.00024829,8.8104,0.00019069,1
8.1922,0.00036714,8.5419,0.00025254,8.0357,0.00043278,8.4373,0.00028276,8.3678,0.0003044,8.6149,0.00023298,8.337,0.0003129,8.5882,0.0002396,1
9.3261,0.00011171,9.5857,8.4355e-05,9.1962,0.00012922,9.5038,9.2293e-05,9.4529,9.7395e-05,9.6331,7.9931e-05,9.4414,9.8234e-05,9.6206,8.0769e-05,1
8.5097,0.00026359,8.8423,0.00018548,8.3557,0.00031238,8.7432,0.00020667,8.6422,0.0002284,8.8857,0.00017616,8.6809,0.00021941,8.9155,0.00017129,1
7.6947,0.00060446,8.2336,0.00034594,7.5545,0.00069978,8.1064,0.000396,7.9038,0.0004851,8.3841,0.00029548,7.9508,0.00046383,8.4241,0.00028421,1
8.5694,0.00024872,8.9017,0.0001743,8.4164,0.00029331,8.7998,0.00019413,8.6982,0.00021619,8.9408,0.00016643,8.7309,0.00020839,8.9659,0.00016268,1
9.272,0.00011828,9.5364,8.8816e-05,9.132,0.00013742,9.4519,9.7481e-05,9.3839,0.00010447,9.57,8.537e-05,9.3971,0.00010313,9.5796,8.4544e-05,1
