14800,18439,10275,3415.8,5662.1,10506,4085,7343.9,1
3116.2,2274.4,2226.7,418.71,342.86,1407.8,260.37,261.09,1
2795.6,1986.2,2090.8,387.69,300.05,1236.4,229.8,222.5,1
2776.7,2088.3,2023.4,393.39,328.95,1294.5,251.34,251.63,1
9277.5,6827.5,6817.3,1348.9,1121.6,4493.3,858.21,863.47,1
3404.3,1908.1,2867.5,110.94,32.69,1792.4,31.643,19.898,1
2096,1136.1,1784.1,70.687,22.859,1123.4,21.585,14.962,1
2819.3,1532.3,2478,84.991,25.613,1616.8,24.318,16.442,1
3262.5,2480,2358.5,464.71,388.89,1550.2,298.14,300,1
6862.1,5376.3,5021.7,1011.4,894.78,3404.9,674.57,705.02,1
3885,2894.1,2836.4,551.65,464.23,1909.9,361.04,357.58,1
6836.8,5406.5,4803.3,977.41,861.29,3125.5,653.88,672.01,1
1838.4,1038.7,1539.3,56.543,18.322,988.36,17.332,12.559,1
3164.5,2383.7,2291.2,445.07,373.84,1507.1,288.67,294.94,1
1040.2,594.6,924.56,35.262,13.347,585.1,12.61,10.327,1
2585.4,1583.7,1927.9,306.53,194.11,1187.1,162.8,134.76,1
3292.5,2408.2,2378.5,459.23,375.6,1523.8,285.12,281.87,1
4091.4,2316.6,3421.2,133.58,38.058,2114.4,36.911,21.931,1
1361.9,732.21,1180.4,50.892,18.08,729.45,17.655,12.856,1
3670.1,1992.4,3015.2,121.31,35.482,1813.6,33.31,20.229,1
1873.7,1043.5,1590.3,63.464,21.115,1006.4,20.082,14.267,1
3356.4,1904.6,2922.8,109.25,33.141,1828.2,29.758,19.407,1
3428.4,2480.9,2479.9,478.94,386.82,1592.2,299.79,294.41,1
3354.9,2447.7,2409.4,453.97,366.07,1501.6,276.34,267.63,1
2633.4,1947.8,1905.4,369.08,300.96,1198.9,232.11,224.54,1
10017,8051.7,7191.4,1451.6,1324.1,4642.1,978.11,1053.9,1
3717.7,2731.3,2740.7,524.86,411.27,1727.8,322.96,309.58,1
