1.3738,1.2321,1.1769,1.1463,1.1265,1.1117,1.1007,1.092,1.0844,1.079,1.0712,1.0668,1.0627,1.0585,1.0544,1.0509,1.0488,1.0456,1.0428,1
1.4264,1.2908,1.2275,1.1908,1.1657,1.1461,1.1328,1.1211,1.1101,1.1031,1.0931,1.0882,1.0827,1.0789,1.0735,1.0714,1.065,1.0621,1.0591,1
1.4196,1.2885,1.2262,1.1895,1.165,1.1462,1.1343,1.123,1.1126,1.1069,1.0977,1.0966,1.0891,1.0832,1.0842,1.0719,1.0677,1.0723,1.066,1
1.4272,1.2913,1.2274,1.1908,1.1661,1.1453,1.1332,1.1237,1.1127,1.1016,1.097,1.0921,1.0898,1.0807,1.0762,1.0699,1.0755,1.0733,1.0595,1
1.4045,1.2761,1.2166,1.1796,1.1551,1.1376,1.124,1.113,1.1037,1.0969,1.0901,1.0852,1.0783,1.0724,1.0697,1.0662,1.0631,1.0584,1.0571,1
1.4251,1.3449,1.2906,1.2497,1.2194,1.197,1.1787,1.1634,1.1505,1.1435,1.1313,1.1241,1.1154,1.1095,1.1115,1.0984,1.098,1.0878,1.0952,1
1.4255,1.3416,1.2879,1.2464,1.217,1.1924,1.1765,1.1628,1.1539,1.1387,1.129,1.123,1.1177,1.1156,1.1111,1.1097,1.0997,1.0846,1.1062,1
1.4232,1.346,1.2916,1.2516,1.2216,1.1993,1.1814,1.166,1.1593,1.1453,1.1365,1.1274,1.1261,1.1163,1.1126,1.1033,1.0994,1.0991,1.0976,1
1.405,1.2712,1.2122,1.1774,1.1523,1.1366,1.123,1.1132,1.1054,1.0988,1.0919,1.0831,1.0795,1.0826,1.0684,1.0687,1.0626,1.0647,1.0629,1
1.4195,1.2806,1.2192,1.1823,1.1589,1.1402,1.1281,1.1165,1.1081,1.0987,1.095,1.088,1.0819,1.0765,1.0747,1.0728,1.0678,1.0615,1.0637,1
1.4187,1.2822,1.2223,1.1867,1.1626,1.1434,1.1293,1.1168,1.1096,1.1023,1.0965,1.088,1.0802,1.0774,1.073,1.0688,1.0624,1.0636,1.0581,1
1.4197,1.2843,1.2228,1.1863,1.1609,1.1425,1.13,1.1174,1.1102,1.0997,1.0935,1.0885,1.0818,1.0767,1.0778,1.0706,1.0637,1.0669,1.0598,1
